designation;reference;url_product;Fournisseur
LAIT DEMI-ÉCRÉMÉ UHT;80001;/Produits/Lait-demi-ecreme-UHT/p/000000000000080001;Sysco
BEURRE PLAQUETTE DOUX;80269;/Promotions/Beurre-plaquette-doux/p/000000000000080269;Sysco
EMMENTAL RÂPÉ;41301;/Promotions/Emmental-rape/p/000000000000041301;Sysco
CRÈME LIQUIDE LÉGÈRE UHT;81244;/Promotions/Creme-liquide-legere-UHT/p/000000000000081244;Sysco
SUCRE EN POUDRE;18462;/Produits/Sucre-en-poudre/p/000000000000018462;Sysco
CRÈME LIQUIDE STÉRILISÉE UHT;81231;/Promotions/Creme-liquide-sterilisee-UHT/p/000000000000081231;Sysco
LAIT ENTIER UHT;80265;/Promotions/Lait-entier-UHT/p/000000000000080265;Sysco
BÛCHETTE PUR CHÈVRE;80043;/Promotions/Buchette-pur-chevre/p/000000000000080043;Sysco
CRÈME UHT;81653;/Produits/Creme-UHT/p/000000000000081653;Sysco
HUILE DE TOURNESOL;11657;/Promotions/Huile-de-tournesol/p/000000000000011657;Sysco
FILET DE POULET BLANC VF;41485;/Promotions/Filet-de-poulet-blanc-VF/p/000000000000041485;Sysco
FARINE DE BLÉ TYPE 55;14943;/Promotions/Farine-de-ble-type-55/p/000000000000014943;Sysco
LARDON FUMÉ 8/8;40299;/Promotions/Lardon-fume-8-8/p/000000000000040299;Sysco
POITRINE FUMÉE DÉLICATESSE;11089;/Promotions/Poitrine-fumee-Delicatesse/p/000000000000011089;Sysco
HUILE D'OLIVE VIERGE EXTRA;19267;/Les-produits/L-epicerie/L-huile--le-vinaigre-et-corps-gras/Les-huiles-pour-assaisonnement/Les-huiles-pour-assaisonnement/Huile-d-olive-vierge-extra/p/000000000000019267;Sysco
CRÈME UHT;82044;/Promotions/Creme-UHT/p/000000000000082044;Sysco
CRÈME SUCRÉE SOUS PRESSION;81118;/Produits/Creme-sucree-sous-pression/p/000000000000081118;Sysco
COULIS EXTRA DE FRUITS ROUGES;39665;/Produits/Coulis-extra-de-fruits-rouges/p/000000000000039665;Sysco
OIGNON ÉMINCÉ;60117;/Promotions/Oignon-emince/p/000000000000060117;Sysco
MAYONNAISE;14631;/Promotions/Mayonnaise/p/000000000000014631;Sysco
REBLOCHON DE SAVOIE AOP;80115;/Promotions/Reblochon-de-Savoie-AOP/p/000000000000080115;Sysco
ROSETTE DE LYON TRANCHÉE;40670;/Promotions/Rosette-de-Lyon-tranchee/p/000000000000040670;Sysco
TRANCHE DE CHEDDAR FONDU;82998;/Les-produits/La-cremerie/Les-bases-d-assemblage/Les-fromages-pour-sandwich-et-burger/Les-fromages-pour-sandwich-et-burger/Tranche-de-cheddar-fondu/p/000000000000082998;Sysco
PARMIGIANO REGGIANO AOP RÂPÉ;81920;/Promotions/Parmigiano-reggiano-AOP-rape/p/000000000000081920;Sysco
FRITE 10/10 BI-TEMPÉRATURE;32868;/Promotions/Frite-10-10-bi-temperature/p/000000000000032868;Sysco
JAMBON CUIT AU TORCHON DD TRANCHÉ;49950;/Produits/Jambon-cuit-au-torchon-DD-tranche/p/000000000000049950;Sysco
CRÈME UHT;82043;/Promotions/Creme-UHT/p/000000000000082043;Sysco
MASCARPONE;80195;/Promotions/Mascarpone/p/000000000000080195;Sysco
